name,region,address,workspace,hours,has_food,type_of_food,popular_drinks,has_outlets,parking,has_restroom
Nature's Brew,USC,"2316 S Union Ave, Los Angeles, CA 90007",GOOD,"[[""Monday"", [""0800"", ""1600""]], [""Tuesday"", [""0800"", ""1600""]], [""Wednesday"", [""0800"", ""1600""]], [""Thursday"", [""0800"", ""1600""]], [""Friday"", [""0800"", ""1600""]], [""Saturday"", [""0800"", ""1600""]], [""Sunday"", [""0800"", ""1600""]]]",FALSE,"[true, true]","[""Matcha Latte"", ""Hazelnut Iced Coffee"", ""Honey Latte""]",TRUE,Lot,TRUE
Cafe Dulce,USC,"3096 McClintock Ave Unit 1420, Los Angeles, CA 90007",LIMITED,"[[""Monday"", [""0800"", ""2000""]], [""Tuesday"", [""0800"", ""2000""]], [""Wednesday"", [""0800"", ""2000""]], [""Thursday"", [""0800"", ""2000""]], [""Friday"", [""0800"", ""2000""]], [""Saturday"", [""0800"", ""2000""]], [""Sunday"", [""0800"", ""2000""]]]",TRUE,"[true, true]","[""Blueberry Matcha Latte"", ""Iced Dulce Latte"", ""Matcha Latte"", ""Vietnamese Coffee""]",TRUE,Lot,TRUE
With Love Market & Cafe,USC,"1969 S Vermont Ave, Los Angeles, CA 90007",LIMITED,"[[""Monday"", [""0830"", ""1600""]], [""Tuesday"", [""0830"", ""1600""]], [""Wednesday"", [""0830"", ""1600""]], [""Thursday"", [""0830"", ""1600""]], [""Friday"", [""0830"", ""1600""]], [""Saturday"", [""0830"", ""1400""]], [""Sunday"", [""0830"", ""1400""]]]",TRUE,"[true, true]","[""Fruit Smoothies"", ""Drip Coffee"", ""Fresh Juices""]",TRUE,Street,TRUE
Bird's Nest Cafe,USC,"2403 S Vermont Ave, Los Angeles, CA 90007",LIMITED,"[[""Monday"", [""0730"", ""1530""]], [""Tuesday"", [""0730"", ""1530""]], [""Wednesday"", [""0730"", ""1530""]], [""Thursday"", [""0730"", ""1530""]], [""Friday"", [""0730"", ""1530""]], [""Saturday"", [""0730"", ""1530""]], [""Sunday"", [""0730"", ""1530""]]]",TRUE,"[true, true]","[""Vanilla Latte"", ""European Iced Coffee"", ""Black Coffee""]",TRUE,Street,TRUE
DRNK Coffee + Tea,USC,"2595 S Hoover St, Los Angeles, CA 90007",GOOD,"[[""Monday"", [""0700"", ""2100""]], [""Tuesday"", [""0700"", ""2100""]], [""Wednesday"", [""0700"", ""2100""]], [""Thursday"", [""0700"", ""2100""]], [""Friday"", [""0700"", ""2100""]], [""Saturday"", [""0800"", ""2000""]], [""Sunday"", [""0800"", ""2000""]]]",TRUE,"[true, true]","[""Espresso"", ""Earl Grey Latte"", ""Orange Ginger Latte""]",TRUE,Street,TRUE
Alchemist Coffee Project - The Pearl,Koreatown,"687 S Hobart Blvd Unit C, Los Angeles, CA 90005",GOOD,"[[""Monday"", [""0700"", ""1800""]], [""Tuesday"", [""0700"", ""1800""]], [""Wednesday"", [""0700"", ""1800""]], [""Thursday"", [""0700"", ""1800""]], [""Friday"", [""0700"", ""1800""]], [""Saturday"", [""0730"", ""1800""]], [""Sunday"", [""0730"", ""1800""]]]",TRUE,"[true, true]","[""Honey Latte"", ""Tiramisu Latte"", ""Lavender Matcha Latte""]",TRUE,Street,TRUE
Coffee MCO,Koreatown,"2580 W Olympic Blvd Unit #2, Los Angeles, CA 90006",GOOD,"[[""Monday"", [""0800"", ""2000""]], [""Tuesday"", [""0800"", ""2000""]], [""Wednesday"", [""0800"", ""2000""]], [""Thursday"", [""0800"", ""2000""]], [""Friday"", [""0800"", ""2000""]], [""Saturday"", [""0800"", ""2000""]], [""Sunday"", [""0800"", ""2000""]]]",TRUE,"[true, true]","[""Cohen Latte"", ""Matcha Latte"", ""Oat Hojicha Latte""]",TRUE,Lot,TRUE
3THYME Coffee & Herbs,Koreatown,"600 S Harvard Blvd Ste 100, Los Angeles, CA 90005",GOOD,"[[""Monday"", [""0800"", ""2200""]], [""Tuesday"", [""0800"", ""2200""]], [""Wednesday"", [""0800"", ""2200""]], [""Thursday"", [""0800"", ""2200""]], [""Friday"", [""0800"", ""2200""]], [""Saturday"", [""0800"", ""2200""]], [""Sunday"", [""0900"", ""2200""]]]",TRUE,"[true, true]","[""Hazelnut Latte. Misu Latte"", ""Hibiscus Lemonade""]",TRUE,Lot,TRUE
It’s Coffee & Tea,Koreatown,"4149 W Pico Blvd Unit 3, Los Angeles, CA 90019",GOOD,"[[""Monday"", [""0700"", ""1900""]], [""Tuesday"", [""0700"", ""1900""]], [""Wednesday"", [""0700"", ""1900""]], [""Thursday"", [""0700"", ""1900""]], [""Friday"", [""0700"", ""1900""]], [""Saturday"", [""0700"", ""1900""]], [""Sunday"", [""0700"", ""1900""]]]",TRUE,"[true, false]","[""Honey Oat Latte"", ""Spamish Oat Milk Latte"", ""London Fog""]",TRUE,Lot,TRUE
Alchemist Coffee Project,Koreatown,"698 S Vermont Ave Ste 103, Los Angeles, CA 90005",GOOD,"[[""Monday"", [""0700"", ""2000""]], [""Tuesday"", [""0700"", ""2000""]], [""Wednesday"", [""0700"", ""2000""]], [""Thursday"", [""0700"", ""2000""]], [""Friday"", [""0700"", ""2000""]], [""Saturday"", [""0730"", ""2000""]], [""Sunday"", [""0730"", ""2000""]]]",TRUE,"[true, true]","[""Cold Brew Coffee"", ""Iced Vanilla Latte""]",TRUE,Lot,TRUE
I Coffee Bar,Koreatown,"621 S Western Ave #101, Los Angeles, CA 90005",GOOD,"[[""Monday"", [""0800"", ""1900""]], [""Tuesday"", [""0800"", ""1900""]], [""Wednesday"", [""0800"", ""1900""]], [""Thursday"", [""0800"", ""1900""]], [""Friday"", [""0800"", ""2100""]], [""Saturday"", [""0800"", ""2100""]], [""Sunday"", [""0800"", ""1900""]]]",TRUE,"[true, false]","[""Dalgona Latte"", ""Hazelnut Latte"", ""Casia Latte""]",TRUE,Lot,TRUE
Awesome Coffee,Koreatown,"3959 Wilshire Blvd, Los Angeles, CA 90010",GOOD,"[[""Monday"", [""0900"", ""1200""]], [""Tuesday"", [""0900"", ""1200""]], [""Wednesday"", [""0900"", ""1200""]], [""Thursday"", [""0900"", ""1200""]], [""Friday"", [""0900"", ""1200""]], [""Saturday"", [""0900"", ""1200""]], [""Sunday"", [""0900"", ""1200""]]]",TRUE,"[true, false]","[""Iced Cortado"", ""Affogatos"", ""Vietnamese Iced Coffee""]",TRUE,Lot,TRUE
Loft Cafe,Koreatown,"3882 W 6th St, Los Angeles, CA 90020",GOOD,"[[""Monday"", [""1100"", ""2200""]], [""Tuesday"", [""1100"", ""2200""]], [""Wednesday"", [""1100"", ""2200""]], [""Thursday"", [""1100"", ""2200""]], [""Friday"", [""1100"", ""2200""]], [""Saturday"", [""1100"", ""2200""]], [""Sunday"", [""1100"", ""2200""]]]",TRUE,"[true, false]","[""Dalgona Latte"", ""Vanilla Latte"", ""Brown Sugar Latte""]",TRUE,Lot,TRUE
